Company,Ticker,Exchange,Sector,Market Cap
Adidas AG,ADS,Frankfurt Stock Exchange,Personal Goods,€29.3bn
Airbus SE,AIR,Euronext Paris,Aerospace & Defence,€99.8bn
Allianz SE,ALV,Frankfurt Stock Exchange,Life Insurance,€85.3bn
Basf SE,BAS,Frankfurt Stock Exchange,Chemicals,€42.3bn
Bayer AG,BAYN,Frankfurt Stock Exchange,Pharmaceuticals & Biotechnology,€53.1bn
Bayerische Motoren Werke AG,BMW,Xetra,Automobiles & Parts,€62.6bn
Beiersdorf AG,BEI,Frankfurt Stock Exchange,Personal Goods,€31.8bn
Brenntag SE,BNR,Frankfurt Stock Exchange,Chemicals,€11.6bn
Continental AG,CON,Frankfurt Stock Exchange,Automobiles & Parts,€13.4bn
Covestro AG,1COV,Frankfurt Stock Exchange,Construction & Materials,€7.6bn
Deutsche Bank AG,DBK,Frankfurt Stock Exchange,Banks,€20.1bn
Deutsche Boerse AG,DB1,Frankfurt Stock Exchange,Financial Services,€32.1bn
Deutsche Post AG,DPW,Frankfurt Stock Exchange,Commercial Transportation,€52.5bn
Deutsche Telekom AG,DTE,Frankfurt Stock Exchange,Telecomms,€108.9bn
Deutsche Wohnen SE,DWNI,Frankfurt Stock Exchange,Property,€7.7bn
E. On SE,EOAN,Frankfurt Stock Exchange,Electricity,€30.1bn
Fresenius Medical Care AG & Co. KGaA,FME,Frankfurt Stock Exchange,Health Care Equipment & Services,€12.6bn
Fresenius SE & Co. KGaA,FRE,Frankfurt Stock Exchange,Health Care Equipment & Services,€15.3bn
HeidelbergCement AG,HEI,Frankfurt Stock Exchange,Construction & Materials,€13.6bn
HelloFresh SE,HFG,Frankfurt Stock Exchange,Food and Drug Retailers,€3.8bn
Henkel AG & Co. KGAA,HEN,Frankfurt Stock Exchange,Chemicals,€17.9bn
Infineon Technologies AG,IFX,Frankfurt Stock Exchange,Technology Hardware & Equipment,€46.8bn
Linde Plc,LIN,New York Stock Exchange,Industrial Engineering,$172.3bn
Mercedes-Benz Group AG,MBG,Frankfurt Stock Exchange,Automobiles & Parts,€76.2bn
Merck KGAA,MRK,Frankfurt Stock Exchange,Pharmaceuticals & Biotechnology,€21.5bn
MTU Aero Engines AG,MTX,Frankfurt Stock Exchange,Aerospace & Defence,€12.3bn
Muenchener Rueckversicherungs-Gesellschaft AG,MUV2,Frankfurt Stock Exchange,Nonlife Insurance,€45.7bn
Porsche Automobil Holding SE - PRF PERPETUAL EUR 1,PAH3,Frankfurt Stock Exchange,Automobiles & Parts,€8.4bn
Puma SE,PUM,Frankfurt Stock Exchange,Personal Goods,€7.2bn
Qiagen NV,QGEN,New York Stock Exchange,Pharmaceuticals & Biotechnology,$10.5bn
RWE AG - Class A Shares,RWE,Frankfurt Stock Exchange,Electricity,€27.9bn
Sap SE,SAP,Frankfurt Stock Exchange,Software & Computer Services,€151.3bn
Sartorius AG - Preference Share,SRT3,Frankfurt Stock Exchange,Pharmaceuticals & Biotechnology,€12.5bn
Siemens AG,SIE,Frankfurt Stock Exchange,Electronic & Electrical Equipment,€126.2bn
Siemens Energy AG,ENR,Frankfurt Stock Exchange,Energy,€19.2bn
Siemens Healthineers AG,SHL,Frankfurt Stock Exchange,Pharmaceuticals & Biotechnology,€60.4bn
Symrise AG,SY1,Frankfurt Stock Exchange,Personal Goods,€14.8bn
Volkswagen AG,VOW,Frankfurt Stock Exchange,Automobiles & Parts,€44.6bn
Vonovia SE,VNA,Frankfurt Stock Exchange,Real Estate Investment & Services,€13.9bn
Zalando SE,ZAL,Frankfurt Stock Exchange,Support Services,€8.1bn