,Instrument,ESG Controversies Score Grade,ESG Controversies Score,Date,,TR.TRESGCCONTROVERSIESSCOREGRADE,TR.TRESGCCONTROVERSIESSCORE,TR.TRESGCCONTROVERSIESSCORE.DATE
0,ADSGn.DE,D-,2.63157894736842,2022-12-31T00:00:00Z,,,,
1,ADSGn.DE,D-,2.5,2021-12-31T00:00:00Z,,,,
2,ADSGn.DE,B+,70.5882352941176,2020-12-31T00:00:00Z,,,,
3,ADSGn.DE,A-,80.0,2019-12-31T00:00:00Z,,,,
4,ADSGn.DE,B,58.3333333333333,2018-12-31T00:00:00Z,,,,
5,ADSGn.DE,C+,50.0,2017-12-31T00:00:00Z,,,,
6,ADSGn.DE,B+,66.6666666666666,2016-12-31T00:00:00Z,,,,
7,ADSGn.DE,A,83.3333333333333,2015-12-31T00:00:00Z,,,,
8,ADSGn.DE,C-,31.25,2014-12-31T00:00:00Z,,,,
9,ADSGn.DE,B+,66.6666666666666,2013-12-31T00:00:00Z,,,,
10,ADSGn.DE,D,15.0,2012-12-31T00:00:00Z,,,,
0,AIR.PA,A+,100.0,2022-12-31T00:00:00Z,,,,
1,AIR.PA,D,8.33333333333333,2021-12-31T00:00:00Z,,,,
2,AIR.PA,D-,6.52173913043478,2020-12-31T00:00:00Z,,,,
3,AIR.PA,C-,28.9473684210526,2019-12-31T00:00:00Z,,,,
4,AIR.PA,D-,7.89473684210526,2018-12-31T00:00:00Z,,,,
5,AIR.PA,D-,2.94117647058823,2017-12-31T00:00:00Z,,,,
6,AIR.PA,D+,20.8333333333333,2016-12-31T00:00:00Z,,,,
7,AIR.PA,A+,100.0,2015-12-31T00:00:00Z,,,,
8,AIR.PA,B+,67.8571428571428,2014-12-31T00:00:00Z,,,,
9,AIR.PA,A+,94.4444444444444,2013-12-31T00:00:00Z,,,,
10,AIR.PA,A,84.375,2012-12-31T00:00:00Z,,,,
0,ALVG.DE,D,8.62068965517241,2021-12-31T00:00:00Z,,,,
1,ALVG.DE,D+,19.8113207547169,2020-12-31T00:00:00Z,,,,
2,ALVG.DE,A,86.1111111111111,2019-12-31T00:00:00Z,,,,
3,ALVG.DE,B,63.8888888888888,2018-12-31T00:00:00Z,,,,
4,ALVG.DE,A+,100.0,2017-12-31T00:00:00Z,,,,
5,ALVG.DE,A-,78.5714285714285,2016-12-31T00:00:00Z,,,,
6,ALVG.DE,A+,100.0,2015-12-31T00:00:00Z,,,,
7,ALVG.DE,B+,75.0,2014-12-31T00:00:00Z,,,,
8,ALVG.DE,A-,82.8125,2013-12-31T00:00:00Z,,,,
9,ALVG.DE,D,15.9090909090909,2012-12-31T00:00:00Z,,,,
10,ALVG.DE,A,85.7142857142857,2011-12-31T00:00:00Z,,,,
0,BASFn.DE,D,14.4444444444444,2022-12-31T00:00:00Z,,,,
1,BASFn.DE,D+,19.2307692307692,2021-12-31T00:00:00Z,,,,
2,BASFn.DE,D-,5.68181818181818,2020-12-31T00:00:00Z,,,,
3,BASFn.DE,D,8.92857142857142,2019-12-31T00:00:00Z,,,,
4,BASFn.DE,A,90.3846153846153,2018-12-31T00:00:00Z,,,,
5,BASFn.DE,A+,100.0,2017-12-31T00:00:00Z,,,,
6,BASFn.DE,B,60.0,2016-12-31T00:00:00Z,,,,
7,BASFn.DE,A+,100.0,2015-12-31T00:00:00Z,,,,
8,BASFn.DE,B,61.5384615384615,2014-12-31T00:00:00Z,,,,
9,BASFn.DE,D+,20.0,2013-12-31T00:00:00Z,,,,
10,BASFn.DE,D+,19.6428571428571,2012-12-31T00:00:00Z,,,,
0,BAYGn.DE,D+,24.6031746031746,2022-12-31T00:00:00Z,,,,
1,BAYGn.DE,D,12.0253164556962,2021-12-31T00:00:00Z,,,,
2,BAYGn.DE,D-,0.819672131147541,2020-12-31T00:00:00Z,,,,
3,BAYGn.DE,D-,4.3859649122807,2019-12-31T00:00:00Z,,,,
4,BAYGn.DE,D,10.2272727272727,2018-12-31T00:00:00Z,,,,
5,BAYGn.DE,D+,23.9130434782608,2017-12-31T00:00:00Z,,,,
6,BAYGn.DE,C-,31.25,2016-12-31T00:00:00Z,,,,
7,BAYGn.DE,B+,71.0526315789473,2015-12-31T00:00:00Z,,,,
8,BAYGn.DE,C,38.5714285714285,2014-12-31T00:00:00Z,,,,
9,BAYGn.DE,D-,8.10810810810811,2013-12-31T00:00:00Z,,,,
10,BAYGn.DE,D,12.0689655172413,2012-12-31T00:00:00Z,,,,
0,BMWG.DE,D+,17.3469387755102,2021-12-31T00:00:00Z,,,,
1,BMWG.DE,B+,73.4042553191489,2020-12-31T00:00:00Z,,,,
2,BMWG.DE,D-,1.21951219512195,2019-12-31T00:00:00Z,,,,
3,BMWG.DE,D+,16.6666666666666,2018-12-31T00:00:00Z,,,,
4,BMWG.DE,D+,19.5121951219512,2017-12-31T00:00:00Z,,,,
5,BMWG.DE,C,41.4285714285714,2016-12-31T00:00:00Z,,,,
6,BMWG.DE,C+,48.0769230769231,2015-12-31T00:00:00Z,,,,
7,BMWG.DE,C+,47.2222222222222,2014-12-31T00:00:00Z,,,,
8,BMWG.DE,D-,7.14285714285714,2013-12-31T00:00:00Z,,,,
9,BMWG.DE,D,13.7931034482758,2012-12-31T00:00:00Z,,,,
10,BMWG.DE,A+,100.0,2011-12-31T00:00:00Z,,,,
0,BEIG.DE,C+,46.6666666666666,2021-12-31T00:00:00Z,,,,
1,BEIG.DE,C,33.3333333333333,2020-12-31T00:00:00Z,,,,
2,BEIG.DE,A+,100.0,2019-12-31T00:00:00Z,,,,
3,BEIG.DE,A+,100.0,2018-12-31T00:00:00Z,,,,
4,BEIG.DE,B+,70.0,2017-12-31T00:00:00Z,,,,
5,BEIG.DE,B-,55.5555555555555,2016-12-31T00:00:00Z,,,,
6,BEIG.DE,A+,100.0,2015-12-31T00:00:00Z,,,,
7,BEIG.DE,A,88.8888888888888,2014-12-31T00:00:00Z,,,,
8,BEIG.DE,C-,30.0,2013-12-31T00:00:00Z,,,,
9,BEIG.DE,A+,100.0,2012-12-31T00:00:00Z,,,,
10,BEIG.DE,A-,79.1666666666666,2011-12-31T00:00:00Z,,,,
0,BNRGn.DE,A+,100.0,2022-12-31T00:00:00Z,,,,
1,BNRGn.DE,A+,100.0,2021-12-31T00:00:00Z,,,,
2,BNRGn.DE,A+,100.0,2020-12-31T00:00:00Z,,,,
3,BNRGn.DE,A+,100.0,2019-12-31T00:00:00Z,,,,
4,BNRGn.DE,A+,100.0,2018-12-31T00:00:00Z,,,,
5,BNRGn.DE,A+,100.0,2017-12-31T00:00:00Z,,,,
6,BNRGn.DE,A+,100.0,2016-12-31T00:00:00Z,,,,
7,BNRGn.DE,A+,100.0,2015-12-31T00:00:00Z,,,,
8,BNRGn.DE,A+,100.0,2014-12-31T00:00:00Z,,,,
9,BNRGn.DE,A+,100.0,2013-12-31T00:00:00Z,,,,
10,BNRGn.DE,A+,100.0,2012-12-31T00:00:00Z,,,,
0,CONG.DE,C,35.7142857142857,2021-12-31T00:00:00Z,,,,
1,CONG.DE,D+,24.4680851063829,2020-12-31T00:00:00Z,,,,
2,CONG.DE,A+,100.0,2019-12-31T00:00:00Z,,,,
3,CONG.DE,A+,92.3076923076923,2018-12-31T00:00:00Z,,,,
4,CONG.DE,A,91.4634146341463,2017-12-31T00:00:00Z,,,,
5,CONG.DE,A,85.7142857142857,2016-12-31T00:00:00Z,,,,
6,CONG.DE,A+,100.0,2015-12-31T00:00:00Z,,,,
7,CONG.DE,A+,100.0,2014-12-31T00:00:00Z,,,,
8,CONG.DE,A+,97.1428571428571,2013-12-31T00:00:00Z,,,,
9,CONG.DE,A+,100.0,2012-12-31T00:00:00Z,,,,
10,CONG.DE,A+,100.0,2011-12-31T00:00:00Z,,,,
0,1COV.DE,A+,100.0,2022-12-31T00:00:00Z,,,,
1,1COV.DE,A+,100.0,2021-12-31T00:00:00Z,,,,
2,1COV.DE,A+,100.0,2020-12-31T00:00:00Z,,,,
3,1COV.DE,A+,100.0,2019-12-31T00:00:00Z,,,,
4,1COV.DE,A+,100.0,2018-12-31T00:00:00Z,,,,
5,1COV.DE,A+,100.0,2017-12-31T00:00:00Z,,,,
6,1COV.DE,A+,100.0,2016-12-31T00:00:00Z,,,,
7,1COV.DE,A+,100.0,2015-12-31T00:00:00Z,,,,
0,DBKGn.DE,C+,43.1034482758621,2022-12-31T00:00:00Z,,,,
1,DBKGn.DE,D-,3.19148936170212,2021-12-31T00:00:00Z,,,,
2,DBKGn.DE,D-,2.33644859813084,2020-12-31T00:00:00Z,,,,
3,DBKGn.DE,D-,0.480769230769231,2019-12-31T00:00:00Z,,,,
4,DBKGn.DE,D-,2.8735632183908,2018-12-31T00:00:00Z,,,,
5,DBKGn.DE,D-,3.37837837837837,2017-12-31T00:00:00Z,,,,
6,DBKGn.DE,D-,0.666666666666666,2016-12-31T00:00:00Z,,,,
7,DBKGn.DE,D,10.8695652173913,2015-12-31T00:00:00Z,,,,
8,DBKGn.DE,D,14.0,2014-12-31T00:00:00Z,,,,
9,DBKGn.DE,D-,6.79012345679012,2013-12-31T00:00:00Z,,,,
10,DBKGn.DE,D-,8.08823529411764,2012-12-31T00:00:00Z,,,,
0,DBKGn.DE,C+,43.1034482758621,2022-12-31T00:00:00Z,,,,
1,DBKGn.DE,D-,3.19148936170212,2021-12-31T00:00:00Z,,,,
2,DBKGn.DE,D-,2.33644859813084,2020-12-31T00:00:00Z,,,,
3,DBKGn.DE,D-,0.480769230769231,2019-12-31T00:00:00Z,,,,
4,DBKGn.DE,D-,2.8735632183908,2018-12-31T00:00:00Z,,,,
5,DBKGn.DE,D-,3.37837837837837,2017-12-31T00:00:00Z,,,,
6,DBKGn.DE,D-,0.666666666666666,2016-12-31T00:00:00Z,,,,
7,DBKGn.DE,D,10.8695652173913,2015-12-31T00:00:00Z,,,,
8,DBKGn.DE,D,14.0,2014-12-31T00:00:00Z,,,,
9,DBKGn.DE,D-,6.79012345679012,2013-12-31T00:00:00Z,,,,
10,DBKGn.DE,D-,8.08823529411764,2012-12-31T00:00:00Z,,,,
0,DPWGn.DE,B+,67.8571428571428,2021-12-31T00:00:00Z,,,,
1,DPWGn.DE,A+,100.0,2020-12-31T00:00:00Z,,,,
2,DPWGn.DE,A+,100.0,2019-12-31T00:00:00Z,,,,
3,DPWGn.DE,A+,96.875,2018-12-31T00:00:00Z,,,,
4,DPWGn.DE,C+,46.875,2017-12-31T00:00:00Z,,,,
5,DPWGn.DE,B-,53.5714285714285,2016-12-31T00:00:00Z,,,,
6,DPWGn.DE,A,85.7142857142857,2015-12-31T00:00:00Z,,,,
7,DPWGn.DE,A-,80.5555555555555,2014-12-31T00:00:00Z,,,,
8,DPWGn.DE,C-,32.1428571428571,2013-12-31T00:00:00Z,,,,
9,DPWGn.DE,A-,77.7777777777777,2012-12-31T00:00:00Z,,,,
10,DPWGn.DE,A,85.7142857142857,2012-01-01T00:00:00Z,,,,
0,DTEGn.DE,D+,16.6666666666666,2021-12-31T00:00:00Z,,,,
1,DTEGn.DE,A+,100.0,2020-12-31T00:00:00Z,,,,
2,DTEGn.DE,A-,80.9523809523809,2019-12-31T00:00:00Z,,,,
3,DTEGn.DE,C+,47.6744186046511,2018-12-31T00:00:00Z,,,,
4,DTEGn.DE,A+,100.0,2017-12-31T00:00:00Z,,,,
5,DTEGn.DE,D+,18.5714285714285,2016-12-31T00:00:00Z,,,,
6,DTEGn.DE,A+,100.0,2015-12-31T00:00:00Z,,,,
7,DTEGn.DE,D+,17.9487179487179,2014-12-31T00:00:00Z,,,,
8,DTEGn.DE,D,9.78260869565217,2013-12-31T00:00:00Z,,,,
9,DTEGn.DE,C-,26.8292682926829,2012-12-31T00:00:00Z,,,,
10,DTEGn.DE,D+,17.3469387755102,2011-12-31T00:00:00Z,,,,
0,DWNG.DE,B+,73.9130434782608,2021-12-31T00:00:00Z,,,,
1,DWNG.DE,A+,100.0,2020-12-31T00:00:00Z,,,,
2,DWNG.DE,A+,94.4444444444444,2019-12-31T00:00:00Z,,,,
3,DWNG.DE,A+,100.0,2018-12-31T00:00:00Z,,,,
4,DWNG.DE,A+,100.0,2017-12-31T00:00:00Z,,,,
5,DWNG.DE,A+,100.0,2016-12-31T00:00:00Z,,,,
6,DWNG.DE,A+,100.0,2015-12-31T00:00:00Z,,,,
7,DWNG.DE,A+,100.0,2014-12-31T00:00:00Z,,,,
8,DWNG.DE,A+,100.0,2013-12-31T00:00:00Z,,,,
9,DWNG.DE,A+,100.0,2012-12-31T00:00:00Z,,,,
10,DWNG.DE,A+,100.0,2011-12-31T00:00:00Z,,,,
0,EONGn.DE,A+,100.0,2022-12-31T00:00:00Z,,,,
1,EONGn.DE,B,62.5,2021-12-31T00:00:00Z,,,,
2,EONGn.DE,A+,100.0,2020-12-31T00:00:00Z,,,,
3,EONGn.DE,A+,95.4545454545454,2019-12-31T00:00:00Z,,,,
4,EONGn.DE,B+,66.6666666666666,2018-12-31T00:00:00Z,,,,
5,EONGn.DE,B+,72.7272727272727,2017-12-31T00:00:00Z,,,,
6,EONGn.DE,B-,56.25,2016-12-31T00:00:00Z,,,,
7,EONGn.DE,B-,57.1428571428571,2015-12-31T00:00:00Z,,,,
8,EONGn.DE,B+,70.0,2014-12-31T00:00:00Z,,,,
9,EONGn.DE,A,85.0,2013-12-31T00:00:00Z,,,,
10,EONGn.DE,A+,100.0,2012-12-31T00:00:00Z,,,,
0,FMEG.DE,A+,100.0,2022-12-31T00:00:00Z,,,,
1,FMEG.DE,A-,76.5625,2021-12-31T00:00:00Z,,,,
2,FMEG.DE,B,59.0909090909091,2020-12-31T00:00:00Z,,,,
3,FMEG.DE,A,88.8888888888888,2019-12-31T00:00:00Z,,,,
4,FMEG.DE,A,88.4615384615384,2018-12-31T00:00:00Z,,,,
5,FMEG.DE,A+,100.0,2017-12-31T00:00:00Z,,,,
6,FMEG.DE,A+,100.0,2016-12-31T00:00:00Z,,,,
7,FMEG.DE,A+,100.0,2015-12-31T00:00:00Z,,,,
8,FMEG.DE,B,61.5384615384615,2014-12-31T00:00:00Z,,,,
9,FMEG.DE,A+,92.8571428571428,2013-12-31T00:00:00Z,,,,
10,FMEG.DE,A+,96.1538461538461,2012-12-31T00:00:00Z,,,,
0,FREG.DE,A-,76.5625,2021-12-31T00:00:00Z,,,,
1,FREG.DE,D+,25.0,2020-12-31T00:00:00Z,,,,
2,FREG.DE,A+,100.0,2019-12-31T00:00:00Z,,,,
3,FREG.DE,A+,100.0,2018-12-31T00:00:00Z,,,,
4,FREG.DE,A+,94.4444444444444,2017-12-31T00:00:00Z,,,,
